Abelmoschus esculentus	okra
Chloris sagraeana	roadside windmill grass
Chorisia speciosa	silk-floss tree
Chromolaena borinquensis	limestone thoroughwort
Chromolaena corymbosa	Caribbean thoroughwort
Chromolaena geraniifolia	geraniumleaf thoroughwort
Chromolaena ivifolia	ivyleaf thoroughwort
Chromolaena odorata	Jack in the bush
Chromolaena oteroi	Mona Island thoroughwort
Chromolaena sinuata	wavyleaf thoroughwort
Chrysobalanus icaco	coco plum
Chrysophyllum argenteum	bastard redwood
Chrysophyllum cainito	star apple
Chrysophyllum oliviforme	satinleaf
Chrysophyllum pauciflorum	camito de perro
Chrysothemis pulchella	squarestem
Chusquea abietifolia	climbing bamboo
Cicer arietinum	chick pea
Cinnamomum camphora	camphortree
Cinnamomum elongatum	laurel avispillo
Cinnamomum montanum	avispillo
Cinnamomum verum	cinnamon
Cirsium mexicanum	Mexican thistle
Cissampelos pareira	velvetleaf
Cissus erosa	caro de tres hojas
Cissus intermedia	intermediate treebine
Cissus obovata	spoonleaf treebine
Cissus trifoliata	sorrelvine
Cissus tuberculata	West Indian treebine
Cissus verticillata	seasonvine
Citharexylum caudatum	juniper berry
Citharexylum ×perkinsii	fiddlewood
Citharexylum spinosum	spiny fiddlewood
Citrullus lanatus	watermelon
Citrus ×aurantiifolia	key lime
Citrus ×aurantium	sour orange
Citrus limetta	bitter orange
Citrus ×limonia	Mandarin lime
Citrus ×limon	lemon
Citrus maxima	shaddock
Citrus medica	citron
Citrus ×paradisi	grapefruit
Citrus reticulata	tangerine
Citrus ×sinensis	sweet orange
Cladium colocasia	malanga
Cladium mariscus	swamp sawgrass
Clematis dioica	cabellos de angel
Cleome aculeata	prickly spiderflower
Cleome gynandra	spiderwisp
Cleome hassleriana	pink queen
Cleome serrata	toothed spiderflower
Cleome speciosa	volantines preciosos
Cleome spinosa	spiny spiderflower
Cleome stenophylla	tropical spiderflower
Cleome viscosa	Asian spiderflower
Clerodendrum aculeatum	haggarbush
Clerodendrum bungei	rose glorybower
Clerodendrum chinense	stickbush
Clerodendrum speciosissimum	Javanese glorybower
Clerodendrum ×speciosum	glorybower
Clerodendrum wallichii	Wallich's glorybower
Cleyera albopunctata	teta prieta
Clibadium erosum	jackass breadnut
Clidemia angustilamina	narrowleaf terciopelo
Clidemia cymosa	camasey terciopelo
Clidemia hirta	soapbush
Clidemia strigillosa	thicket hogwood
Clitoria fairchildiana	Philippine pigeonwings
Clitoria falcata	sickle pigeonwings
Clitoria laurifolia	laurel-leaf pigeonwings
Clitoria ternatea	Asian pigeonwings
Clusia clusioides	cupeillo
Clusia gundlachii	Grundlach's attorney
Clusia minor	cupey de monte
Clusia rosea	Scotch attorney
Cnemidaria horrida	deepwoods fern
Cnidoscolus aconitifolius	treadsoftly
Coccocypselum herbaceum	yerba de guava
Coccoloba costata	uvilla
Coccoloba diversifolia	tietongue
Coccoloba krugii	whitewood
Coccoloba microstachya	puckhout
Coccoloba pallida	pale seagrape
Coccoloba pubescens	grandleaf seagrape
Coccoloba pyrifolia	uvera
Coccoloba rugosa	ortegon
Coccoloba sintenisii	uvero de monte
Coccoloba swartzii	Swartz's pigeonplum
Coccoloba tenuifolia	Bahama pigeonplum
Coccoloba uvifera	seagrape
Coccoloba venosa	false chiggergrape
Coccothrinax barbadensis	Puerto Rico silver palm
Cochleanthes flabelliformis	fanshape orchid
Cochlidium jungens	mountain snailfern
Cochlidium rostratum	beaked snailfern
Cochlidium seminudum	tree snailfern
Cochlidium serrulatum	toothed snailfern
Cochlospermum vitifolium	silk cottontree
Cocos nucifera	coconut palm
Codariocalyx gyroides	false tick trefoil
Codiaeum variegatum	garden croton
Coffea arabica	Arabian coffee
Coffea liberica	Liberian coffee
Coix lacryma-jobi	Job's tears
Cojoba arborea	wild tamarind
Cola acuminata	abata cola
Colocasia esculenta	coco yam
Colubrina arborescens	greenheart
Colubrina elliptica	soldierwood
Colubrina glandulosa	glandular nakedwood
Colubrina verrucosa	Urban's nakedwood
Columnea ambigua	tibey de cresta
Columnea scandens	tibey parasito
Commelina benghalensis	jio
Commelina diffusa	climbing dayflower
Commelina erecta	whitemouth dayflower
Commelina rufipes	cojite blanco
Commelina virginica	Virginia dayflower
Comocladia dodonaea	poison ash
Comocladia glabra	carrasco
Comparettia falcata	snail orchid
Condylidium iresinoides	villalba
Congea tomentosa	lluvia de orquideas
Conocarpus erectus	button mangrove
Conostegia rufescens	Luquillo Mountain snailwood
Consolea moniliformis	tuna
Consolea rubescens	sour pricklypear
Convolvulus nodiflorus	aguinaldo blanco
Conyza canadensis	Canadian horseweed
Conyza floribunda	asthmaweed
Conyza laevigata	manzanilla horseweed
Conyza primulifolia	primroseleaf horseweed
Copaifera officinalis	copaiba
Corchorus aestuans	jute
Corchorus hirsutus	jackswitch
Corchorus hirtus	Orinoco jute
Corchorus siliquosus	slippery burr
Cordia alliodora	Spanish elm
Cordia angustifolia	basora
Cordia bahamensis	Bahama manjack
Cordia bellonis	serpentine manjack
Cordia borinquensis	muneco
Cordia collococca	red manjack
Cordia gerascanthus	yauco
Cordia globosa	curaciao bush
Cordia laevigata	smooth manjack
Cordia lima	lija
Cordia obliqua	clammy cherry
Cordia polycephala	black-sage
Cordia rickseckeri	San Bartolome
Cordia rupicola	Puerto Rico manjack
Cordia sebestena	largeleaf geigertree
Cordia sulcata	mucilage manjack
Cordia wagneriorum	Luquillo Mountain manjack
Cordyline fruticosa	tiplant
Coriandrum sativum	coriander
Cornutia obovata	nigua
Cornutia pyramidata	azulejo
Coronopus didymus	lesser swinecress
Corymbia citriodora	lemonscented gum
Corymborkis forcipigera	lime orchid
Cosmos caudatus	wild cosmos
Cosmos sulphureus	sulphur cosmos
Costus guanaiensis	cana de India
Costus malortieanus	stepladder ginger
Costus scaber	spiral ginger
Costus speciosus	canereed
Costus spicatus	spiked spiralflag
Couroupita guianensis	cannonball tree
Coursetia caribaea	anil falso
Cranichis muscosa	cypress-knee helmet orchid
Cranichis ricartii	Puerto Rico helmet orchid
Craniolaria annua	escorzonera
Crassocephalum crepidioides	redflower ragleaf
Crescentia alata	morrito
Crescentia cujete	common calabash tree
Crescentia linearifolia	higuerito
